"topics","Griffiths2004","CaoJuan2009","Arun2010","Deveaud2014"
5,-4398341.54977597,0.169877725815435,405.248377569151,3.19822307213834
15,-3893360.63797544,0.270041172200053,351.293718657777,2.77907727349553
25,-3644529.89962161,0.17888322910488,288.010642580468,2.96823734318184
35,-3545027.03146016,0.160563351089123,260.954500596624,2.95609693982659
45,-3380979.9330199,0.157717892096583,245.97306559667,2.90884676014662
55,-3363350.27682097,0.126461621159659,236.858077727769,2.94233911682524
65,-3215219.14074632,0.118243133744656,218.468412521731,2.98640282356567
75,-3188271.73216272,0.0964023798242497,189.187841716524,3.0471550703489
85,-3181265.81103669,0.115846201161779,187.925878255289,2.93051354633729
95,-3027273.6100949,0.0989733249103891,173.605957850531,2.96770438511892
105,-3127230.45950011,0.0930364094793022,202.782256072873,2.92256054099888
115,-2985893.77463369,0.0863193684038001,193.968880765133,2.93240407972573
125,-3004696.20250684,0.0781084319575313,184.039756775349,2.97000800502383
135,-2991042.40904892,0.0672896189973809,184.923285602762,2.99243732052861
145,-3024177.81292839,0.0589361054057725,194.602532922725,3.00450609293697
