"topic","term","beta"
1,"7th",7.1467419309977e-16
2,"7th",2.24406413910233e-15
3,"7th",8.01386280407752e-15
4,"7th",1.269532196039e-13
5,"7th",1.48880626314684e-14
6,"7th",7.69111183453369e-15
7,"7th",1.30840723379958e-13
8,"7th",5.08559908016632e-14
9,"7th",3.24632368287846e-15
10,"7th",1.9535026590511e-14
11,"7th",4.49184032696961e-15
12,"7th",7.02740875692949e-15
13,"7th",7.10574216065347e-15
14,"7th",7.27549309965154e-15
15,"7th",6.29565874047996e-17
16,"7th",1.83542327325967e-13
17,"7th",7.96596530758856e-14
18,"7th",3.5758287510171e-14
19,"7th",6.72837397984847e-15
20,"7th",4.13437005984606e-14
21,"7th",1.92062837803831e-15
22,"7th",2.55233022619483e-14
23,"7th",5.7489854037507e-15
24,"7th",3.04223816505801e-15
25,"7th",2.21736966053805e-17
26,"7th",0.00287631295583271
27,"7th",4.57821775183379e-14
28,"7th",3.74878504035993e-15
29,"7th",6.33874884019829e-14
30,"7th",3.83388238021712e-13
1,"abdul",2.8575470717801e-11
2,"abdul",2.7175343059558e-10
3,"abdul",1.04838714892423e-10
4,"abdul",3.82764104671963e-12
5,"abdul",2.296868497582e-11
6,"abdul",1.94663990986336e-10
7,"abdul",7.25301553673123e-11
8,"abdul",1.7954132052571e-10
9,"abdul",5.61235858371377e-11
10,"abdul",1.15534408113761e-10
11,"abdul",6.08964654567357e-11
12,"abdul",6.9550414057145e-12
13,"abdul",2.2926832004314e-10
14,"abdul",5.41616917228844e-10
15,"abdul",2.17784326376333e-11
16,"abdul",5.68297056198722e-11
17,"abdul",1.13999761484761e-09
18,"abdul",4.21149196983632e-11
19,"abdul",1.2950747507689e-11
20,"abdul",2.9215151305963e-11
21,"abdul",1.28865105241074e-10
22,"abdul",8.67990456912084e-10
23,"abdul",1.45538264862909e-10
24,"abdul",4.70122219126855e-11
25,"abdul",3.99580563113755e-12
26,"abdul",2.49103476015474e-12
27,"abdul",0.00303706047678459
28,"abdul",5.32066445125463e-07
29,"abdul",1.30781702977991e-10
30,"abdul",2.25854005942783e-10
1,"abedin",1.08665565054969e-12
2,"abedin",3.25513424519546e-12
3,"abedin",7.32921113257632e-12
4,"abedin",3.47187070400322e-13
5,"abedin",1.85425012124086e-12
6,"abedin",2.75143354631721e-12
7,"abedin",8.00514587884116e-14
8,"abedin",2.84450412772601e-13
9,"abedin",2.14261778971532e-12
10,"abedin",1.88167101446704e-12
11,"abedin",6.63978966864873e-13
12,"abedin",3.19572949263557e-13
13,"abedin",1.07132248124288e-12
14,"abedin",9.69446719392894e-12
15,"abedin",1.25145045304476e-12
16,"abedin",2.23286201771112e-12
17,"abedin",1.22375815102369e-10
18,"abedin",1.93119242114179e-12
19,"abedin",4.82615751484166e-13
20,"abedin",1.98879371981418e-14
21,"abedin",1.56357045765925e-12
22,"abedin",2.3677846373821e-11
23,"abedin",6.1653264681978e-12
24,"abedin",2.54385075967428e-12
25,"abedin",6.16837336634057e-14
26,"abedin",0.00479385473178893
27,"abedin",3.30603371972957e-12
28,"abedin",1.32259005500198e-13
29,"abedin",1.04872520809844e-12
30,"abedin",7.54406155072148e-12
1,"abortion",0.00015531439778288
2,"abortion",0.00227106002104318
3,"abortion",1.76710033811283e-06
4,"abortion",1.04099427927418e-05
5,"abortion",8.76347098423471e-06
6,"abortion",4.76415483485488e-05
7,"abortion",1.32094912675338e-05
8,"abortion",3.52836085666025e-05
9,"abortion",3.11396845629464e-07
10,"abortion",0.00112665639390725
11,"abortion",4.86014441034642e-07
12,"abortion",1.18249217631155e-05
13,"abortion",1.45341827259017e-05
14,"abortion",0.000485348628310101
15,"abortion",3.63041569007487e-06
16,"abortion",5.15869497578421e-05
17,"abortion",6.42436360304765e-07
18,"abortion",1.91039043046337e-06
19,"abortion",3.2566505887897e-06
20,"abortion",1.75025764434588e-05
21,"abortion",3.47727579571122e-05
22,"abortion",1.2643212796815e-05
23,"abortion",3.82788719705922e-05
24,"abortion",1.91014256095533e-06
25,"abortion",2.35760413841549e-07
26,"abortion",2.61497990424078e-08
27,"abortion",2.33131751459027e-05
28,"abortion",1.17071183224024e-05
29,"abortion",3.20048853999407e-06
30,"abortion",3.59084647013067e-06
1,"absolutely",3.30316583365608e-08
2,"absolutely",1.88879238060424e-08
3,"absolutely",6.7833221633139e-09
4,"absolutely",1.87144128414597e-09
5,"absolutely",4.07331369063365e-09
6,"absolutely",6.73858385565642e-09
7,"absolutely",1.83210966867248e-09
8,"absolutely",9.75671893117144e-08
9,"absolutely",6.54781222021613e-09
10,"absolutely",0.0016874050381479
11,"absolutely",2.53123640157838e-06
12,"absolutely",1.05002195558095e-08
13,"absolutely",4.47069471424811e-10
14,"absolutely",1.28375410374526e-09
15,"absolutely",5.63492646243558e-09
16,"absolutely",3.94550934335725e-09
17,"absolutely",5.34749108861361e-09
18,"absolutely",9.09885309640682e-09
19,"absolutely",1.53504319973236e-09
20,"absolutely",1.79339838171946e-07
21,"absolutely",3.56294997331913e-09
22,"absolutely",5.41748938528825e-09
23,"absolutely",1.80250204769739e-08
24,"absolutely",1.99982715499776e-08
25,"absolutely",4.38828434948506e-12
26,"absolutely",6.34964909719591e-10
27,"absolutely",5.44276248334734e-09
28,"absolutely",1.04229430431474e-08
29,"absolutely",1.7134195762796e-08
30,"absolutely",7.40286744061777e-08
1,"accuse",0.000546709056059621
2,"accuse",2.5520703922848e-05
3,"accuse",1.68338385131138e-05
4,"accuse",1.56015092570421e-05
5,"accuse",0.00308937954632491
6,"accuse",9.11859163364864e-06
7,"accuse",1.02481924670342e-06
8,"accuse",7.35028127767978e-07
9,"accuse",1.05713866010141e-05
10,"accuse",9.60150194761483e-06
11,"accuse",2.21881180409142e-06
12,"accuse",2.3125465121742e-07
13,"accuse",7.46889150260891e-06
14,"accuse",9.7639198742202e-06
15,"accuse",2.88212031446055e-06
16,"accuse",8.94944446434997e-06
17,"accuse",5.9070849506048e-06
18,"accuse",1.18997858512494e-06
19,"accuse",1.46543162274496e-05
20,"accuse",1.5869021902846e-05
21,"accuse",5.54336314397336e-06
22,"accuse",7.58539775865066e-06
23,"accuse",2.00512046008059e-05
24,"accuse",2.10074086110623e-07
25,"accuse",6.94217792334598e-08
26,"accuse",2.77487541193916e-06
27,"accuse",0.000850673048293065
28,"accuse",1.05975538091406e-05
29,"accuse",6.47849427358681e-06
30,"accuse",2.12354123249717e-06
1,"accuser",0.00231032571056808
2,"accuser",6.71584763117493e-09
3,"accuser",5.22385237731597e-09
4,"accuser",1.52879660673476e-08
5,"accuser",4.17131315382658e-08
6,"accuser",6.24729158402673e-09
7,"accuser",3.97383098341422e-10
8,"accuser",4.05529591065518e-11
9,"accuser",4.81463664451053e-09
10,"accuser",1.71142442057819e-09
11,"accuser",1.04444729425677e-10
12,"accuser",4.05931629479314e-12
13,"accuser",5.66449958917837e-10
14,"accuser",3.19513763445366e-09
15,"accuser",1.69660488207559e-09
16,"accuser",5.72343296366724e-08
17,"accuser",1.03653643508668e-09
18,"accuser",5.56629538702903e-10
19,"accuser",1.29595949335664e-09
20,"accuser",3.45002746164215e-09
21,"accuser",8.62471157762347e-10
22,"accuser",2.79026690338401e-09
23,"accuser",1.25173080936882e-09
24,"accuser",4.90103823668626e-10
25,"accuser",3.00215331694207e-12
26,"accuser",1.31111975553794e-10
27,"accuser",1.52219663052452e-05
28,"accuser",1.78552017383481e-09
29,"accuser",3.125194254792e-09
30,"accuser",1.80726976315544e-09
1,"achmed",2.13847568294908e-06
2,"achmed",1.42366522115717e-05
3,"achmed",2.64830038448819e-06
4,"achmed",4.32926112776752e-05
5,"achmed",1.40364399447937e-07
6,"achmed",0.000350787288768607
7,"achmed",6.18854580152888e-06
8,"achmed",0.000411741140515453
9,"achmed",7.89277060496702e-06
10,"achmed",3.71504490326322e-05
11,"achmed",1.2251333254912e-06
12,"achmed",7.10372491943574e-06
13,"achmed",2.37528085266871e-06
14,"achmed",0.000585813096428574
15,"achmed",7.05425770568969e-05
16,"achmed",4.54802370031087e-07
17,"achmed",1.93083867910582e-06
18,"achmed",0.000315261093582875
19,"achmed",3.00003201893719e-06
20,"achmed",4.03125543843155e-05
21,"achmed",5.05599711539716e-05
22,"achmed",1.09528387552888e-05
23,"achmed",1.64997531993414e-05
24,"achmed",1.01364864112101e-05
25,"achmed",2.62158233642931e-06
26,"achmed",1.1361604628465e-06
27,"achmed",7.78923207914892e-06
28,"achmed",5.45604960074705e-06
29,"achmed",0.000608988521191311
30,"achmed",7.40859213966964e-05
1,"act",9.75988404671618e-05
2,"act",6.36707567115894e-06
3,"act",0.00027713540437668
4,"act",0.000193245312127748
5,"act",3.40250944966003e-05
6,"act",5.80434115975622e-05
7,"act",4.79329933933024e-05
8,"act",3.63563660002188e-05
9,"act",1.02398814349192e-05
10,"act",5.68223753502032e-05
11,"act",4.76982519326853e-05
12,"act",0.000139863775992717
13,"act",2.578650089727e-05
14,"act",0.00145498364845016
15,"act",4.77010657836877e-05
16,"act",0.000155407836447092
17,"act",4.3590380581341e-05
18,"act",0.000129809769493591
19,"act",0.000668403243587403
20,"act",0.000968108748589695
21,"act",0.000365736122763151
22,"act",0.000785664539216343
23,"act",0.000102258492960439
24,"act",0.00130231103233172
25,"act",5.91318764012837e-06
26,"act",1.048639321814e-05
27,"act",0.000183431146987482
28,"act",0.000445918692728378
29,"act",6.73949884856e-05
30,"act",0.000295938481617623
1,"action",5.89468871483353e-10
2,"action",2.39672263984589e-07
3,"action",3.69509371334411e-08
4,"action",1.18562912224788e-08
5,"action",5.7134145687244e-10
6,"action",1.53938519760405e-08
7,"action",6.69076379590468e-09
8,"action",1.36438624642481e-08
9,"action",5.00629945287217e-08
10,"action",3.49813021711717e-08
11,"action",8.92044116080782e-09
12,"action",3.11938331411001e-09
13,"action",2.20857692617404e-09
14,"action",0.00709702124268342
15,"action",6.64000961268355e-09
16,"action",3.30406730338673e-09
17,"action",2.58351989000788e-09
18,"action",7.76227595599803e-09
19,"action",2.99283972901414e-08
20,"action",1.1247678626051e-08
21,"action",1.87415382410381e-08
22,"action",1.79284764458171e-08
23,"action",2.25278790188791e-08
24,"action",1.15208726107325e-07
25,"action",1.27938501745965e-10
26,"action",5.63244722605906e-11
27,"action",7.0759381167632e-09
28,"action",1.14953183219457e-10
29,"action",7.33602070317195e-08
30,"action",1.65943562488695e-08
1,"ad",5.22468554376878e-08
2,"ad",9.42404706748038e-08
3,"ad",2.12393870998889e-09
4,"ad",7.71028540444177e-07
5,"ad",4.60622176155097e-08
6,"ad",1.85898210050402e-07
7,"ad",3.71954367543571e-08
8,"ad",9.44188065302515e-07
9,"ad",8.76266880674692e-09
10,"ad",1.38721609124742e-08
11,"ad",1.21654579686903e-07
12,"ad",2.64115168355824e-07
13,"ad",0.00133144524143805
14,"ad",1.95730788535608e-07
15,"ad",8.40401195891298e-08
16,"ad",3.34507811034613e-08
17,"ad",1.3524852645162e-07
18,"ad",5.72780485883187e-09
19,"ad",1.09083436522305e-09
20,"ad",2.2036192955135e-07
21,"ad",7.30818354000295e-08
22,"ad",3.34012486500726e-10
23,"ad",5.92496417402958e-08
24,"ad",1.11686458193344e-06
25,"ad",2.36630450886404e-08
26,"ad",9.25656245071657e-09
27,"ad",4.52367892923201e-07
28,"ad",3.70848275589103e-08
29,"ad",5.10570383432334e-08
30,"ad",3.13840476286882e-07
1,"adam",3.93351074270456e-06
2,"adam",2.04483485848209e-05
3,"adam",4.69603461815177e-05
4,"adam",1.65396721292024e-05
5,"adam",8.20699817198323e-07
6,"adam",4.22497891411728e-07
7,"adam",5.40316543017917e-05
8,"adam",0.00206826330989242
9,"adam",2.35757616604253e-06
10,"adam",6.63374271532751e-06
11,"adam",8.1141391482009e-06
12,"adam",5.91761772261127e-07
13,"adam",1.18938672416772e-05
14,"adam",6.37512858860898e-06
15,"adam",3.17009263289933e-06
16,"adam",3.98624888752428e-05
17,"adam",0.000297766659553733
18,"adam",5.60346801647118e-06
19,"adam",1.70882345980601e-06
20,"adam",1.08255872208183e-06
21,"adam",7.4460528717253e-06
22,"adam",0.000315329464965942
23,"adam",5.00914558845913e-06
24,"adam",2.44322067631405e-06
25,"adam",5.47333906532363e-08
26,"adam",5.58980800617406e-07
27,"adam",6.17685904032189e-05
28,"adam",5.24856918290506e-07
29,"adam",6.7460567227271e-06
30,"adam",3.04544064223637e-05
1,"adel",5.9756250470077e-07
2,"adel",1.87026268280792e-06
3,"adel",1.36917479243832e-07
4,"adel",3.22750083683082e-06
5,"adel",1.67315166879148e-06
6,"adel",7.57519484671518e-05
7,"adel",6.01574853806339e-07
8,"adel",5.82158241208945e-07
9,"adel",6.07255883733105e-06
10,"adel",1.00480997610369e-06
11,"adel",2.25999342845381e-06
12,"adel",4.87552470716152e-07
13,"adel",1.42925188003438e-06
14,"adel",1.92933066388448e-05
15,"adel",4.76646153605876e-07
16,"adel",1.40346756765543e-07
17,"adel",6.09787181563141e-06
18,"adel",1.24918464172134e-06
19,"adel",5.70271776731154e-07
20,"adel",0.000101279277827787
21,"adel",2.19893433107946e-07
22,"adel",1.45795948427283e-06
23,"adel",2.84860533708335e-07
24,"adel",8.22015821926745e-06
25,"adel",2.16261914019824e-08
26,"adel",7.57959873792407e-07
27,"adel",4.7589972567487e-07
28,"adel",9.67413996748644e-05
29,"adel",8.40310670407648e-07
30,"adel",2.25197539968274e-06
1,"adelson",3.48733130738702e-05
2,"adelson",6.0467457522562e-05
3,"adelson",8.34939901780882e-06
4,"adelson",1.11530890851636e-07
5,"adelson",5.00125288510864e-06
6,"adelson",2.78160421427122e-06
7,"adelson",1.11474388515658e-06
8,"adelson",2.86419044575844e-05
9,"adelson",7.66374559331073e-06
10,"adelson",4.24130383452794e-05
11,"adelson",2.86266253505612e-05
12,"adelson",9.44976300937583e-06
13,"adelson",0.00297474056940061
14,"adelson",7.25620842090222e-05
15,"adelson",2.11264989436966e-05
16,"adelson",8.49677446529836e-06
17,"adelson",1.53181096993125e-05
18,"adelson",1.01054949026984e-06
19,"adelson",1.14775423064642e-05
20,"adelson",8.35745637328419e-05
21,"adelson",1.81502632694175e-06
22,"adelson",4.62102999510999e-06
23,"adelson",1.05851260446727e-06
24,"adelson",6.19911395257965e-06
25,"adelson",1.47775535566841e-06
26,"adelson",8.73163821490879e-07
27,"adelson",6.76655509794585e-05
28,"adelson",1.59405419262386e-07
29,"adelson",0.000177969870141159
30,"adelson",3.98995418724258e-07
1,"administration",7.69321174712901e-06
2,"administration",0.000289817951185243
3,"administration",0.000839683744300941
4,"administration",0.000290318215432815
5,"administration",8.08551137830988e-05
6,"administration",0.00060150334565234
7,"administration",0.00031930973055426
8,"administration",0.0033289700529201
9,"administration",0.000151751213628812
10,"administration",0.00032878920286715
11,"administration",1.72534903960033e-05
12,"administration",0.000220080816086684
13,"administration",1.15944311126991e-05
14,"administration",0.0185786970939367
15,"administration",0.000261195587832368
16,"administration",1.93796589446234e-05
17,"administration",0.000498982522264737
18,"administration",5.94363682222706e-05
19,"administration",0.000196059429492417
20,"administration",9.73151809606267e-05
21,"administration",0.00322242334995961
22,"administration",2.79544708784143e-05
23,"administration",0.000199028015714894
24,"administration",0.000668188452534288
25,"administration",1.41390169061214e-05
26,"administration",2.21670994548049e-05
27,"administration",1.25544097179827e-05
28,"administration",1.98656732145365e-05
29,"administration",0.00051119253095598
30,"administration",0.00013703541478871
1,"affordable",4.91476703767054e-12
2,"affordable",1.80052660987572e-11
3,"affordable",3.9896146128843e-11
4,"affordable",1.88370592924795e-11
5,"affordable",3.35955223413992e-11
6,"affordable",2.30822108747392e-11
7,"affordable",9.25269291433255e-12
8,"affordable",3.73586352879058e-11
9,"affordable",1.16957832024648e-10
10,"affordable",7.46355763434946e-13
11,"affordable",1.48958856502404e-12
12,"affordable",3.00043039539438e-10
13,"affordable",2.99221914868991e-13
14,"affordable",1.08613250428086e-09
15,"affordable",6.73191621326086e-12
16,"affordable",1.92108618004905e-10
17,"affordable",1.60022213628992e-13
18,"affordable",0.00371273221176105
19,"affordable",4.79981403131629e-08
20,"affordable",6.12739258580051e-11
21,"affordable",3.77807418122981e-10
22,"affordable",2.21816839742822e-12
23,"affordable",1.64724141424725e-11
24,"affordable",8.64718231544243e-11
25,"affordable",5.89218401894485e-13
26,"affordable",6.95750812135728e-13
27,"affordable",2.31104030282551e-11
28,"affordable",1.22987971786433e-11
29,"affordable",1.29110764841987e-11
30,"affordable",6.01200133134085e-11
1,"afghanistan",6.38010503842366e-08
2,"afghanistan",3.68405338371521e-06
3,"afghanistan",1.62590333426513e-06
4,"afghanistan",3.65228211401918e-07
5,"afghanistan",2.62095347351941e-06
6,"afghanistan",3.1312616821362e-06
7,"afghanistan",9.66922576354803e-05
8,"afghanistan",1.52156097407133e-06
9,"afghanistan",0.00493285174649826
10,"afghanistan",3.15242145127737e-06
11,"afghanistan",6.0124361092444e-06
12,"afghanistan",2.43106784080718e-07
13,"afghanistan",5.6523183490896e-08
14,"afghanistan",2.09183779899399e-07
15,"afghanistan",7.83436869091975e-08
16,"afghanistan",1.23552533500001e-08
17,"afghanistan",1.12919475092606e-06
18,"afghanistan",9.00528275045162e-09
19,"afghanistan",8.05254613728142e-07
20,"afghanistan",4.20619222438771e-08
21,"afghanistan",2.00929640315315e-06
22,"afghanistan",1.55218559159882e-06
23,"afghanistan",1.81933727994913e-06
24,"afghanistan",3.52970320924403e-07
25,"afghanistan",7.4121758284715e-09
26,"afghanistan",3.0023623339905e-08
27,"afghanistan",1.61058349179441e-06
28,"afghanistan",1.36883223525356e-06
29,"afghanistan",4.52746480598801e-07
30,"afghanistan",1.63692402863438e-07
1,"african",6.51850756952122e-08
2,"african",3.91660064534876e-08
3,"african",3.16103046730928e-07
4,"african",3.50304414015747e-06
5,"african",1.5880301548481e-06
6,"african",1.09691640318959e-05
7,"african",1.04100715959668e-07
8,"african",2.18666390492312e-07
9,"african",1.96547734395377e-07
10,"african",4.11410691789924e-07
11,"african",1.2166380253477e-07
12,"african",2.67940110423675e-07
13,"african",5.30874739647394e-08
14,"african",2.75671812948754e-06
15,"african",4.70016808653202e-07
16,"african",2.00070311099504e-07
17,"african",3.87602963768351e-07
18,"african",1.16418614626307e-07
19,"african",1.64803349025247e-07
20,"african",8.64236338858517e-08
21,"african",2.60155338746716e-07
22,"african",1.2421295665908e-06
23,"african",5.43802082877193e-08
24,"african",6.38065635980856e-07
25,"african",1.16210489889852e-08
26,"african",7.07100386928538e-07
27,"african",0.0151620222005949
28,"african",7.2348331537379e-07
29,"african",4.56199511843136e-08
30,"african",1.41017466572642e-07
1,"agendum",7.42812116113032e-19
2,"agendum",9.21184524436603e-18
3,"agendum",1.28046723390577e-17
4,"agendum",5.41562907152367e-20
5,"agendum",7.80417923256679e-19
6,"agendum",3.02112906074492e-17
7,"agendum",1.24509166846302e-19
8,"agendum",1.27073892408479e-16
9,"agendum",9.36082623703622e-19
10,"agendum",4.7243526552688e-18
11,"agendum",1.09091941227536e-16
12,"agendum",2.16032207314949e-16
13,"agendum",1.13688966488233e-19
14,"agendum",6.80080450616175e-18
15,"agendum",4.5462380550978e-19
16,"agendum",1.36628494450236e-20
17,"agendum",6.02600074561914e-20
18,"agendum",1.56463838473884e-18
19,"agendum",3.00819671523417e-15
20,"agendum",3.1982300904213e-18
21,"agendum",1.51516893027525e-18
22,"agendum",1.9737441118556e-18
23,"agendum",2.90943898585715e-18
24,"agendum",0.00534985708814754
25,"agendum",1.32120064716231e-21
26,"agendum",6.43469802302627e-20
27,"agendum",1.00098316594298e-17
28,"agendum",1.12564171881162e-17
29,"agendum",1.13562641125546e-18
30,"agendum",8.44409657158765e-17
1,"ago",0.000546270877352537
2,"ago",0.00508745968945868
3,"ago",0.000702826377739968
4,"ago",0.000931086290773752
5,"ago",0.000795011742586174
6,"ago",1.12558524087633e-05
7,"ago",0.00174336649272347
8,"ago",0.000329934344624353
9,"ago",0.0036186056102816
10,"ago",0.000624013900395953
11,"ago",0.000129241846288341
12,"ago",6.5029786835467e-05
13,"ago",0.000124317363233464
14,"ago",6.61060310130737e-05
15,"ago",4.62727914035358e-05
16,"ago",0.000585643936664928
17,"ago",6.75699898569532e-05
18,"ago",0.000202011816781238
19,"ago",0.00101288922638678
20,"ago",0.00101688857570854
21,"ago",8.57320862479827e-05
22,"ago",0.00155115665792405
23,"ago",0.000965029980412803
24,"ago",0.000410503383511476
25,"ago",1.55537306812971e-05
26,"ago",0.00111286177646416
27,"ago",0.000322850353699766
28,"ago",0.000495366155980919
29,"ago",2.80887835693775e-05
30,"ago",0.000806194420251197
1,"agree",3.0133217812111e-08
2,"agree",4.87322420960467e-07
3,"agree",1.94329939674533e-06
4,"agree",9.90649438748304e-07
5,"agree",6.15331195948708e-07
6,"agree",1.67144134950861e-06
7,"agree",2.06678727192512e-06
8,"agree",1.39098724735613e-06
9,"agree",2.20861443985026e-06
10,"agree",4.03885070141819e-08
11,"agree",1.29323425745912e-06
12,"agree",6.11572019782106e-06
13,"agree",0.00732027902357449
14,"agree",6.79204520555422e-07
15,"agree",1.83953231959581e-06
16,"agree",2.17466638519006e-08
17,"agree",9.55870746203132e-07
18,"agree",3.04633571667098e-07
19,"agree",9.28373666729763e-08
20,"agree",1.3004451228497e-07
21,"agree",6.88567209381687e-10
22,"agree",8.36837058958825e-07
23,"agree",2.67659869013336e-06
24,"agree",8.44727839663384e-07
25,"agree",2.99225263579718e-08
26,"agree",2.44607674522541e-08
27,"agree",4.52517492183571e-07
28,"agree",6.97361744428568e-07
29,"agree",8.17733892804447e-07
30,"agree",2.8166166546976e-06
1,"agreement",1.40647808835111e-06
2,"agreement",1.6645481499184e-05
3,"agreement",5.28054616189632e-06
4,"agreement",1.19281435018517e-05
5,"agreement",1.28934624421104e-05
6,"agreement",1.63368017706571e-05
7,"agreement",2.91867724641327e-06
8,"agreement",2.76184978256346e-06
9,"agreement",9.62613969590622e-06
10,"agreement",2.49741191259781e-06
11,"agreement",0.000127454016469678
12,"agreement",3.35619391134741e-06
13,"agreement",0.000948824604265541
14,"agreement",0.000125806751228588
15,"agreement",9.35140105880766e-05
16,"agreement",4.10917926438322e-06
17,"agreement",0.00117964490524727
18,"agreement",5.96486478260934e-05
19,"agreement",4.99321746133414e-06
20,"agreement",7.40333174577343e-06
21,"agreement",0.0136150887041439
22,"agreement",2.76613237900632e-06
23,"agreement",2.1943439559901e-05
24,"agreement",0.000191669579450199
25,"agreement",1.6097133157858e-06
26,"agreement",1.30152542745432e-06
27,"agreement",1.16772740554386e-05
28,"agreement",1.43496373404626e-05
29,"agreement",3.56551386384919e-06
30,"agreement",1.5327856476276e-05
1,"airport",7.19380263616873e-10
2,"airport",1.11190867684606e-09
3,"airport",7.99731660497615e-10
4,"airport",2.1046297977566e-09
5,"airport",6.91542491956063e-10
6,"airport",3.94602882213697e-09
7,"airport",3.78608160129383e-09
8,"airport",2.06039550830442e-09
9,"airport",3.64776070465946e-11
10,"airport",4.42788799842227e-10
11,"airport",5.40931092374615e-09
12,"airport",2.42757817340526e-10
13,"airport",5.66309136252226e-10
14,"airport",1.77539765627326e-10
15,"airport",1.03584547735656e-09
16,"airport",2.83147696241161e-10
17,"airport",1.76438137512215e-08
18,"airport",2.23349030053627e-09
19,"airport",6.26168214485078e-09
20,"airport",4.65630270955648e-10
21,"airport",9.00546144915393e-08
22,"airport",1.34329463684379e-10
23,"airport",7.17698115023681e-09
24,"airport",0.00367787251785353
25,"airport",1.47073262939715e-12
26,"airport",4.11472056055987e-11
27,"airport",2.38871852316352e-09
28,"airport",5.93934243677613e-10
29,"airport",4.22518079025274e-10
30,"airport",4.4778416578877e-09
1,"al",1.63116626254301e-08
2,"al",1.18892099342273e-08
3,"al",5.16829098136985e-07
4,"al",5.62801273019064e-07
5,"al",7.59775496007531e-07
6,"al",3.12186594911752e-06
7,"al",1.23141409789478e-07
8,"al",1.3559886944366e-07
9,"al",3.06959554625411e-06
10,"al",6.02557949014978e-09
11,"al",2.2717458846602e-07
12,"al",5.78639523469169e-08
13,"al",1.69829083440008e-08
14,"al",2.33989702426401e-07
15,"al",1.21213050069966e-07
16,"al",5.02566408715793e-09
17,"al",1.47114869267942e-07
18,"al",8.34248983995318e-08
19,"al",9.52379987503511e-09
20,"al",2.99720860637644e-07
21,"al",7.24196716047564e-08
22,"al",6.24686379138261e-08
23,"al",9.93344854546453e-08
24,"al",4.29866590909446e-07
25,"al",3.40592006524348e-08
26,"al",2.27260663143927e-08
27,"al",2.01556451494724e-06
28,"al",0.0247157833280952
29,"al",2.78476299028007e-07
30,"al",7.69835960246886e-07
1,"alabama",6.64553158757708e-08
2,"alabama",1.19839077402808e-08
3,"alabama",9.4562108988731e-08
4,"alabama",5.29396974052614e-08
5,"alabama",1.34475631085681e-07
6,"alabama",2.03000303621525e-08
7,"alabama",4.32161506010584e-09
8,"alabama",2.09969585742627e-08
9,"alabama",1.78549395558934e-07
10,"alabama",4.35318507141339e-08
11,"alabama",1.86415340365259e-09
12,"alabama",7.52038339658106e-07
13,"alabama",3.77961247745356e-09
14,"alabama",1.11536201408567e-08
15,"alabama",3.45351432715608e-09
16,"alabama",1.65148588486637e-09
17,"alabama",6.86732963207187e-09
18,"alabama",5.96174956415623e-09
19,"alabama",4.39452593642882e-09
20,"alabama",3.09435061574633e-09
21,"alabama",8.46024278177177e-09
22,"alabama",3.11041238564115e-09
23,"alabama",1.3981080640973e-10
24,"alabama",3.18560936940685e-09
25,"alabama",1.14295617127224e-09
26,"alabama",1.06957016302035e-10
27,"alabama",0.0232866414937158
28,"alabama",8.93772441986777e-09
29,"alabama",1.73919647987382e-07
30,"alabama",2.85803431290282e-09
1,"alex",6.28811842267251e-05
2,"alex",0.000367372175302502
3,"alex",3.99318262608685e-06
4,"alex",8.3078936844025e-06
5,"alex",4.15027699436617e-05
6,"alex",2.09438550797317e-05
7,"alex",3.99420798647807e-05
8,"alex",7.54539161035567e-06
9,"alex",3.27252853773743e-05
10,"alex",0.000186701655341726
11,"alex",2.64068938420743e-05
12,"alex",1.60430951154549e-05
13,"alex",1.31355196927489e-05
14,"alex",0.000254353335433265
15,"alex",0.00306794797562971
16,"alex",0.000311955108272971
17,"alex",3.04126682393146e-06
18,"alex",1.54680062150399e-05
19,"alex",2.4343915978052e-06
20,"alex",0.000291417319076528
21,"alex",0.00025299872275513
22,"alex",2.83148448948835e-05
23,"alex",0.000233969891550069
24,"alex",7.19975585270906e-06
25,"alex",1.6641864528554e-07
26,"alex",3.3794720015321e-05
27,"alex",1.68235436709228e-05
28,"alex",1.15744360078802e-05
29,"alex",1.81126059760385e-05
30,"alex",6.83505949500636e-06
1,"ali",3.39394253130497e-06
2,"ali",0.000266824421461808
3,"ali",2.83588564024803e-06
4,"ali",1.08148941983072e-05
5,"ali",1.4546042562675e-05
6,"ali",3.99771092079321e-07
7,"ali",1.92510390870534e-06
8,"ali",1.34752112672699e-06
9,"ali",0.000433536354671076
10,"ali",2.08634650435027e-05
11,"ali",5.80807960242966e-06
12,"ali",9.45981476321057e-05
13,"ali",1.52564336909438e-07
14,"ali",3.02532280554987e-06
15,"ali",4.57372602311923e-06
16,"ali",1.52041447860944e-07
17,"ali",4.75325242853236e-06
18,"ali",3.58563630697275e-07
19,"ali",1.55546797099611e-05
20,"ali",1.12045174633043e-05
21,"ali",1.8997079044517e-06
22,"ali",9.71405899202529e-06
23,"ali",9.46976119672735e-07
24,"ali",5.5671114413255e-07
25,"ali",7.08017538003395e-07
26,"ali",2.20937277600441e-05
27,"ali",0.00643513558779612
28,"ali",9.11361088209574e-06
29,"ali",6.99354191729428e-06
30,"ali",3.82567846307089e-05
1,"allegation",8.30711091667418e-08
2,"allegation",1.56618714926757e-08
3,"allegation",3.32620710471756e-07
4,"allegation",1.10073483886302e-07
