dates,clean_date
"Meet the Press Transcript - March 22, 2015",3/22/2015
"Meet the Press Transcript - March 15, 2015",3/15/2015
"Meet the Press Transcript - March 8, 2015",3/8/2015
"Meet the Press Transcript - March 1, 2015",3/1/2015
"Meet the Press Transcript - February 22, 2015",2/22/2015
"Meet the Press Transcript - February 15, 2015",2/15/2015
"Meet the Press Transcript - February 8, 2015",2/8/2015
"Meet the Press Transcript - February 1, 2015",2/1/2015
"Meet the Press Transcript - January 25, 2015",1/25/2015
"Meet the Press Transcript - January 11, 2015",1/11/2015
"Meet the Press Transcript - January 4, 2015",1/4/2015
